station_complex_id,ridership
1,259255
10,437065
100,49430
101,253019
103,66871
107,99966
108,68961
109,94080
110,77958
111,49367
113,70919
114,68982
118,131161
119,503606
120,660017
122,176285
123,131681
124,135331
125,135738
126,180333
127,238302
129,139919
13,213809
130,84264
131,51090
133,33541
134,53682
135,50064
136,60872
137,47760
138,47375
14,334732
141,31379
143,154464
144,113422
145,82248
146,166396
147,184692
149,73814
150,44636
151,429771
152,104305
153,500066
154,120060
155,143836
156,84550
157,181091
158,212913
159,230946
16,319512
160,186425
162,401096
164,1352061
165,383964
167,677706
168,238942
169,296223
17,223626
173,139955
175,219847
176,110251
177,137962
179,313684
180,124358
181,238991
182,92497
183,101888
185,41358
186,45096
187,45548
188,191314
189,83925
190,68007
191,44970
192,114794
193,28516
194,35951
195,105341
196,12364
197,13709
198,61948
199,5256
2,196304
20,89949
200,14401
201,8677
202,6237
203,13619
204,40722
205,28524
206,13174
207,13554
208,26478
209,82193
210,112273
211,106040
212,92927
213,145128
214,70378
215,110613
216,65225
217,85384
218,124868
22,87594
220,48480
221,178680
222,167617
223,357660
224,241033
225,880100
228,461775
231,437846
232,305304
234,278373
235,260812
236,215627
237,222069
238,77561
240,222507
241,113530
242,111305
243,184591
244,62734
245,55458
246,27207
247,19586
248,43392
249,38740
250,59264
251,33175
252,40268
253,26503
254,347159
255,145125
256,129977
257,81926
258,95042
259,416272
26,431945
260,60132
261,492704
262,141492
263,244362
264,340852
265,314908
266,223139
268,61130
269,114211
270,121359
271,216025
272,58706
273,337331
276,296681
277,291715
278,532695
279,514511
28,137208
280,84107
282,34488
283,183806
284,187046
286,84264
287,53920
288,94741
289,122782
290,95691
291,97704
292,121058
293,127022
294,78116
295,150883
296,86076
297,44021
298,107987
299,124154
3,250728
30,104775
300,139165
301,190268
303,187141
304,172539
305,235426
306,176616
307,316134
308,243499
309,226410
31,65861
310,658882
311,307925
312,257300
313,751619
314,374501
316,394062
318,1247590
319,223790
32,292987
320,237043
321,134939
323,210187
324,231829
325,91620
326,105067
327,345565
328,242114
329,126352
33,142693
333,316239
334,135485
336,153993
337,179704
339,92153
34,161863
340,145403
341,86350
343,67063
344,81582
345,431906
346,112609
347,80913
348,87071
349,44131
35,251620
350,66961
351,40775
352,91693
353,67770
354,107823
355,138947
356,156411
357,82883
358,127286
359,344560
36,148122
360,108014
361,64113
362,36057
363,68923
364,40527
365,98491
366,232794
367,60707
368,92729
369,93510
37,100494
370,32465
371,170525
372,62504
373,80531
374,25010
375,49529
376,84397
377,141028
378,119569
379,114887
38,214414
380,98947
381,142264
382,154874
383,89584
384,165263
385,89734
386,77976
387,123621
388,137865
39,100302
391,61638
392,454620
393,217314
394,151609
395,198517
396,310480
397,856637
398,477933
399,459128
4,231794
403,482208
404,363115
405,476268
407,300824
409,238297
41,173267
413,273029
414,381743
416,72074
417,46323
418,61860
419,48335
42,184965
420,40872
421,105682
422,40482
423,65094
424,112986
425,34982
426,141271
427,74078
428,81129
429,60880
43,133771
430,107654
431,38400
432,85805
433,66190
434,278037
436,55719
437,42878
438,174410
439,232630
44,222476
440,149973
441,123591
442,59963
443,45519
444,69059
445,48120
446,43284
447,1228893
448,268457
449,197138
45,82810
450,497512
451,532237
452,401127
453,221885
455,123609
456,330676
457,108859
458,242231
459,185178
46,115393
460,157971
461,241811
463,81350
464,319374
47,179601
471,441604
475,337351
476,460252
477,580421
48,66100
49,104010
5,124432
50,107375
51,361252
52,131193
53,84134
54,236466
55,211240
56,62468
57,47285
58,290475
59,105543
6,67821
60,76346
601,807841
602,1791121
603,186227
604,549792
605,424378
606,490403
607,1816525
608,237243
609,888588
61,63486
610,2540317
611,3279707
612,944951
613,907243
614,1327754
615,100163
616,1178757
617,841855
618,869975
619,772812
62,34877
620,528444
621,156757
622,467592
623,846312
624,1010278
625,553773
626,285657
627,107672
628,1451047
629,330406
630,449067
635,471180
636,731798
64,93788
65,119620
66,115241
67,96403
68,141356
69,82499
70,53539
71,202199
72,130413
74,93768
75,90442
76,131801
77,110948
78,73596
79,46861
8,269594
80,42581
81,44073
82,51586
83,79482
84,35289
85,63620
86,14133
87,60769
88,41804
89,36971
9,614566
90,44944
91,33819
93,46088
94,90015
95,113620
96,99506
97,211167
98,121375
99,73112
